stage_index,raw_index,raw_column_name,description,stage_column_name,data_type
1,1,GEO_ID,Geography,geo_id,string
2,2,NAME,Geographic Area Name,geo_name,string
3,3,S2704_C01_001E,Estimate. Total. Civilian noninstitutionalized population,tot_pop,int
4,5,S2704_C01_001M,Margin of Error. Total. Civilian noninstitutionalized population,moe_tot_pop,int
5,7,S2704_C01_002E,Estimate. Total. COVERAGE ALONE OR IN COMBINATION. Medicare coverage alone or in combination,tot_medicare_alone_or_comb,int
6,9,S2704_C01_002M,Margin of Error. Total. COVERAGE ALONE OR IN COMBINATION. Medicare coverage alone or in combination,moe_tot_medicare_alone_or_comb,int
7,11,S2704_C01_003E,Estimate. Total. COVERAGE ALONE OR IN COMBINATION. Medicare coverage alone or in combination. Under 19,tot_medicare_alone_or_comb_u19,int
8,13,S2704_C01_003M,Margin of Error. Total. COVERAGE ALONE OR IN COMBINATION. Medicare coverage alone or in combination. Under 19,moe_tot_medicare_alone_or_comb_u19,int
9,15,S2704_C01_004E,Estimate. Total. COVERAGE ALONE OR IN COMBINATION. Medicare coverage alone or in combination. 19 to 64 years,tot_medicare_alone_or_comb_19_64,int
10,17,S2704_C01_004M,Margin of Error. Total. COVERAGE ALONE OR IN COMBINATION. Medicare coverage alone or in combination. 19 to 64 years,moe_tot_medicare_alone_or_comb_19_64,int
11,19,S2704_C01_005E,Estimate. Total. COVERAGE ALONE OR IN COMBINATION. Medicare coverage alone or in combination. 65 years and over,tot_medicare_alone_or_comb_65plus,int
12,21,S2704_C01_005M,Margin of Error. Total. COVERAGE ALONE OR IN COMBINATION. Medicare coverage alone or in combination. 65 years and over,moe_tot_medicare_alone_or_comb_65plus,int
13,23,S2704_C01_006E,Estimate. Total. COVERAGE ALONE OR IN COMBINATION. Medicaid/means-tested public coverage alone or in combination,tot_medicaid_alone_or_comb,int
14,25,S2704_C01_006M,Margin of Error. Total. COVERAGE ALONE OR IN COMBINATION. Medicaid/means-tested public coverage alone or in combination,moe_tot_medicaid_alone_or_comb,int
15,27,S2704_C01_007E,Estimate. Total. COVERAGE ALONE OR IN COMBINATION. Medicaid/means-tested public coverage alone or in combination. Under 19,tot_medicaid_alone_or_comb_u19,int
16,29,S2704_C01_007M,Margin of Error. Total. COVERAGE ALONE OR IN COMBINATION. Medicaid/means-tested public coverage alone or in combination. Under 19,moe_tot_medicaid_alone_or_comb_u19,int
17,31,S2704_C01_008E,Estimate. Total. COVERAGE ALONE OR IN COMBINATION. Medicaid/means-tested public coverage alone or in combination. 19 to 64 years,tot_medicaid_alone_or_comb_19_64,int
18,33,S2704_C01_008M,Margin of Error. Total. COVERAGE ALONE OR IN COMBINATION. Medicaid/means-tested public coverage alone or in combination. 19 to 64 years,moe_tot_medicaid_alone_or_comb_19_64,int
19,35,S2704_C01_009E,Estimate. Total. COVERAGE ALONE OR IN COMBINATION. Medicaid/means-tested public coverage alone or in combination. 65 years and over,tot_medicaid_alone_or_comb_65plus,int
20,37,S2704_C01_009M,Margin of Error. Total. COVERAGE ALONE OR IN COMBINATION. Medicaid/means-tested public coverage alone or in combination. 65 years and over,moe_tot_medicaid_alone_or_comb_65plus,int
21,39,S2704_C01_010E,Estimate. Total. COVERAGE ALONE OR IN COMBINATION. VA health care coverage alone or in combination,tot_va_alone_or_comb,int
22,41,S2704_C01_010M,Margin of Error. Total. COVERAGE ALONE OR IN COMBINATION. VA health care coverage alone or in combination,moe_tot_va_alone_or_comb,int
23,43,S2704_C01_011E,Estimate. Total. COVERAGE ALONE OR IN COMBINATION. VA health care coverage alone or in combination. Under 19,tot_va_alone_or_comb_u19,int
24,45,S2704_C01_011M,Margin of Error. Total. COVERAGE ALONE OR IN COMBINATION. VA health care coverage alone or in combination. Under 19,moe_tot_va_alone_or_comb_u19,int
25,47,S2704_C01_012E,Estimate. Total. COVERAGE ALONE OR IN COMBINATION. VA health care coverage alone or in combination. 19 to 64 years,tot_va_alone_or_comb_19_64,int
26,49,S2704_C01_012M,Margin of Error. Total. COVERAGE ALONE OR IN COMBINATION. VA health care coverage alone or in combination. 19 to 64 years,moe_tot_va_alone_or_comb_19_64,int
27,51,S2704_C01_013E,Estimate. Total. COVERAGE ALONE OR IN COMBINATION. VA health care coverage alone or in combination. 65 years and over,tot_va_alone_or_comb_65plus,int
28,53,S2704_C01_013M,Margin of Error. Total. COVERAGE ALONE OR IN COMBINATION. VA health care coverage alone or in combination. 65 years and over,moe_tot_va_alone_or_comb_65plus,int
29,103,S2704_C01_026E,Estimate. Total. COVERAGE ALONE. Public health insurance alone,tot_pub_cov_alone,int
30,105,S2704_C01_026M,Margin of Error. Total. COVERAGE ALONE. Public health insurance alone,moe_tot_pub_cov_alone,int
31,107,S2704_C01_027E,Estimate. Total. COVERAGE ALONE. Public health insurance alone. Medicare coverage alone,tot_pub_cov_alone_medicare_alone,int
32,109,S2704_C01_027M,Margin of Error. Total. COVERAGE ALONE. Public health insurance alone. Medicare coverage alone,moe_tot_pub_cov_alone_medicare_alone,int
33,111,S2704_C01_028E,Estimate. Total. COVERAGE ALONE. Public health insurance alone. Medicaid/means tested coverage alone,tot_pub_cov_alone_medicaid_alone,int
34,113,S2704_C01_028M,Margin of Error. Total. COVERAGE ALONE. Public health insurance alone. Medicaid/means tested coverage alone,moe_tot_pub_cov_alone_medicaid_alone,int
35,115,S2704_C01_029E,Estimate. Total. COVERAGE ALONE. Public health insurance alone. VA health care coverage alone,tot_pub_cov_alone_va_alone,int
36,117,S2704_C01_029M,Margin of Error. Total. COVERAGE ALONE. Public health insurance alone. VA health care coverage alone,moe_tot_pub_cov_alone_va_alone,int
37,119,S2704_C02_001E,Estimate. Public Coverage. Civilian noninstitutionalized population,pub_cov_pop,int
38,121,S2704_C02_001M,Margin of Error. Public Coverage. Civilian noninstitutionalized population,moe_pub_cov_pop,int
39,123,S2704_C02_002E,Estimate. Public Coverage. COVERAGE ALONE OR IN COMBINATION. Medicare coverage alone or in combination,pub_cov_medicare_alone_or_comb,int
40,125,S2704_C02_002M,Margin of Error. Public Coverage. COVERAGE ALONE OR IN COMBINATION. Medicare coverage alone or in combination,moe_pub_cov_medicare_alone_or_comb,int
41,127,S2704_C02_003E,Estimate. Public Coverage. COVERAGE ALONE OR IN COMBINATION. Medicare coverage alone or in combination. Under 19,pub_cov_medicare_alone_or_comb_u19,int
42,129,S2704_C02_003M,Margin of Error. Public Coverage. COVERAGE ALONE OR IN COMBINATION. Medicare coverage alone or in combination. Under 19,moe_pub_cov_medicare_alone_or_comb_u19,int
43,131,S2704_C02_004E,Estimate. Public Coverage. COVERAGE ALONE OR IN COMBINATION. Medicare coverage alone or in combination. 19 to 64 years,pub_cov_medicare_alone_or_comb_19_64,int
