stage_index,raw_column_name,stage_column_name,stage_user_friendly_name,description
1,objectid_1,shape_object_id,Geocoding Artifact Object Identification Number,"This attribute represents the table unique, internal feature (record) number as required by ArcGIS. There is no requirement or expectation that a given feature has a “persistent” Object Identification Number value from one table (feature class) to the next as long as the Object Identification Number value is unique in a given spatial table."
2,HpsSrcID,hpsa_source_id,Shapefile Download HPSA Source Identification Number,This attribute represents the primary identifier for a Health Professional Shortage Area (HPSA) as a complete unit in the source data system.
3,HpsNM,hpsa_name,Shapefile Download HPSA Name,This attribute represents the Health Professional Shortage Area (HPSA) name as identified in the most recent data refresh.
4,HpsStatCD,hpsa_status_cd,Shapefile Download HPSA Status Code,This attribute represents the one character identifier that designates the current status of the HPSA designation. For further information about Health Professional Shortage Areas (HPSA) refer to the https://bhw.hrsa.gov/shortage-designation/ website.
5,HpsStatDes,hpsa_status_desc,Shapefile Download HPSA Status Description,This attribute represents the textual description of the current status of the Health Professional Shortage Area (HPSA) designation.
6,HpsTypCD,hpsa_type_cd,Shapefile Download HPSA Type Code,This attribute represents the geography or facility type code characterizing the Health Professional Shortage Area (HPSA).
7,HpsTypDes,hpsa_type_desc,Shapefile Download HPSA Type Description,This attribute represents the textual description of the Health Professional Shortage Area (HPSA) type.
8,HpsScore,hpsa_score,Shapefile Download HPSA Score,"This attribute represents the Health Professional Shortage Area (HPSA) Score developed by the National Health Service Corps (NHSC) in determining priorities for assignment of clinicians. The scores range from 0 to 26 where the higher the score, the greater the priority."
9,MctaScore,maternity_care_tgt_areas_suppl_score,Shapefile Download Maternity Care Target Areas Supplementary Score,This attribute represents the Maternity Care Target Areas (MCTA) supplementary score. MCTA Supplementary Scores are only available for Primary Care Health Professional Shortage Areas (HPSAs).
10,HpsShtg,hpsa_shortage,Shapefile Download HPSA Shortage,This attribute represents the number of full-time equivalent (FTE) practitioners needed in the Health Professional Shortage Area (HPSA) so that it will achieve the population to practitioner target ratio. The target ratio is determined by the type (discipline) of the HPSA.
11,HpsFormlRt,hpsa_formal_ratio,Shapefile Download HPSA Formal Ratio,"This attribute represents the ratio of the Health Professional Shortage Area (HPSA) Designation Population to HPSA provider full-time equivalents displayed in ratio format (for example, 3500:1), where the population and the designation share the same discipline class (for example, Primary Care, Dental Care, and Mental Health)."
12,HpsFte,hpsa_tot_fte_clinicians,Shapefile Download HPSA Total Full-Time Equivalent Clinicians,This attribute represents the number of practitioners providing ambulatory patient care in the Health Professional Shortage Area (HPSA) expressed as full-time equivalents.
13,HpsPvt,hpsa_pct_of_pop_below_pl,Shapefile Download HPSA Percent of Population Below Poverty Level,This attribute represents the percent of the resident or patient population in the Health Professional Shortage Area (HPSA) living below the U.S. Federal Poverty Level (USFPL).
14,HpsDgnDT,hpsa_des_date,Shapefile Download HPSA Designation Date,This attribute represents the date on which the Health Professional Shortage Area (HPSA) was originally designated as a shortage area.
15,HpsDgnLUDT,hpsa_des_last_update_date,Shapefile Download HPSA Designation Last Update Date,This attribute represents the date on which the Health Professional Shortage Area (HPSA) information was last updated in the source system.
16,HpsDgnPp,hpsa_des_pop,Shapefile Download HPSA Designation Population,"This attribute represents the number of persons which have been identified by the HRSA, Bureau of Health Workforce (BHW), Division of Policy and Shortage Designation (DPSD) as being affected by the Health Professional Shortage Area (HPSA)."
17,HpsEsUsvPp,hpsa_est_underserved_pop,Shapefile Download HPSA Estimated Underserved Population,This attribute represents the estimated underserved population served by the full-time equivalent (FTE) health care practitioners within a Health Professional Shortage Area (HPSA).
18,HpsEsSvPp,hpsa_est_served_pop,Shapefile Download HPSA Estimated Served Population,This attribute represents the estimated total population served by the full-time equivalent (FTE) Health care practitioners within a Health Professional Shortage Area (HPSA).
20,HpsMtrIndD,hpsa_metro_indicator,Shapefile Download HPSA Metropolitan Indicator Description,"This attribute represents the description indicating whether a Health Professional Shortage Area (HPSA) is either Metropolitan, Non-Metropolitan, or Frontier in nature."
21,HpsPpPdRtG,hpsa_provider_ratio_goal,Shapefile Download HPSA Provider Ratio Goal,"This attribute represents the Health Professional Shortage Area (HPSA) Provider Ratio Goal that is the target population per provider (physician) for the HPSA in a Discipline Class. Federal regulations stipulate that, in order to be considered as having a shortage of providers, an area must have a population-to-provider ratio of a certain threshold. For primary medical care, the population to provider ratio must be at least 3,500 to 1 (3,000 to 1 if there are unusually high needs in the community). For dental, the ratio must be at least 5,000 to 1 (4,000 to 1 in high-need communities). For mental health, the area must have a population to psychiatrist ratio of 30,000 to 1 (20,000 to 1 in high-need communities). For further information about Health Professional Shortage Areas (HPSA) refer to the https://bhw.hrsa.gov/shortage-designation/ website."
22,DscpClsNum,discipline_class_num,Shapefile Download Discipline Class Number,This attribute represents the single character code used by the HRSA Data Warehouse (HDW) to indicate the Discipline Class identification number (ID) values associated with health related discipline classes.
23,DscpClsDes,discipline_class_desc,Shapefile Download Discipline Class Description,"This attribute represents the Health Professional Shortage Area (HPSA) discipline class description. HPSA disciplines may be listed as Primary Care, Dental Health, or Mental Health."
25,CmpNM,hpsa_comp_name,Shapefile Download HPSA Component Name,This attribute represents the name assigned to the Health Professional Shortage Area (HPSA) component as identified in the most recent data refresh.
27,CmpTypDes,hpsa_comp_type,Shapefile Download HPSA Component Type Description,This attribute represents the Health Professional Shortage Area (HPSA) Component Type Description which identifies in words the type of the HPSA for the component.
30,GEOID,hpsa_geography_id,Shapefile Download HPSA Geography Identification Number,"This attribute represents the Health Professional Shortage Area (HPSA) geography code which identifies the specific geographic area (county, county subdivision (CSD), or Census Tract) associated with the HPSA."
31,CntFips,county_fips_cd,Shapefile Download County or County Equivalent Federal Information Processing Standard Code,"This attribute represents the numeric character string assigned by the National Institute of Standards and Technology to the counties and/or county equivalents for the states, the District of Columbia, and U.S. territories."
32,CntNM,county_name,Shapefile Download County Equivalent Name,"This attribute represents the name of the county or county equivalent in which the associated address is located, displayed as a text string."
34,STFIPS,state_fips_cd,Shapefile Download State Federal Information Processing Standard Code,"This attribute represents the State Federal Information Processing Standard (FIPS) code identifying the two numeric character string assigned by the National Institute of Standards and Technology (NIST) to states, the District of Columbia, and U.S. territories."
35,StAbbr,state_abbr,Shapefile Download State Abbreviation,This attribute represents the U.S. Postal Service (USPS) two alphabetic character code for a U.S. state or U.S. territory associated with a location where an entity is situated.
36,StNM,state_name,Shapefile Download State Name,This attribute represents the state or territory name.
40,DwRecCrtDT,record_create_date,Shapefile Download Data Warehouse Record Create Date,This attribute represents the date on which the data was processed by the HRSA Data Warehouse.
